# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: StaticMixerDX
# Creation date: 11/28/2018 10:03:13
# 
# 11/28/2018 10:03:13
# The parameters defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2
DP 0,1,0
# 
# A non parametric change occurred and invalidated design point results.
# 11/28/2018 10:41:20
# 
# 
# A non parametric change occurred and invalidated design point results.
# 12/05/2018 10:35:27
# 
# 
# 12/05/2018 10:54:18
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree],P3 - inMassFlow [kg s^-1],P4 - OutTempRange [K],P5 - OutTempAve [K],P6 - inDia [m],P7 - in2Angle [degree],P8 - inMassFlow [kg s^-1],P9 - OutTempRange [K],P10 - OutTempAve [K],P11 - Mesh Element Size [m],P12 - Mesh Max Size [m],P13 - Mesh Min Size [m],P14 - Mesh Proximity Min Size [m],P15 - Mesh Maximum Thickness [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
DP 0,1,0,1500,0.190277,299.99,1,0,1500,0.718964,300,0.4,0.4,0.03,0.03,0.3
DP 1,1,0,1500,0.0552063,300.02,1,0,1500,0.718964,300,0.2,0.2,0.015,0.015,0.2
DP 1,1,0,1500,0.0552063,300.02,1,0,1500,0.718964,300,0.2,0.2,0.015,0.015,0.2
# 
# 12/05/2018 13:41:17
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree],P3 - inMassFlow [kg s^-1],P4 - OutTempRange [K],P5 - OutTempAve [K],P6 - inDia [m],P7 - in2Angle [degree],P8 - inMassFlow [kg s^-1],P9 - OutTempRange [K],P10 - OutTempAve [K],P11 - Mesh Element Size [m],P12 - Mesh Max Size [m],P13 - Mesh Min Size [m],P14 - Mesh Proximity Min Size [m],P15 - Mesh Maximum Thickness [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
DP 1,1,0,1500,0.0118103,300.005,1,0,1500,0.718964,300,0.2,0.2,0.015,0.015,0.2
DP 2,1,0,1500,0.0085144,300.008,1,0,1500,0.718964,300,0.15,0.15,0.011,0.011,0.15
DP 3,1,0,1500,0.00717163,299.995,1,0,1500,0.718964,300,0.12,0.12,0.009,0.009,0.12
DP 1,1,0,1500,0.0110779,300.005,1,0,1500,0.718964,300,0.2,0.2,0.015,0.015,0.2
DP 1,1,0,1500,0.010498,300.004,1,0,1500,0.718964,300,0.2,0.2,0.015,0.015,0.2
DP 4,1,0,1500,0.0105896,300.001,1,0,1500,0.718964,300,0.2,0.2,0.015,0.015,0.2
# 
# A non parametric change occurred and invalidated design point results.
# 12/05/2018 14:02:14
# 
# 
# 12/05/2018 14:02:51
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree],P3 - inMassFlow [kg s^-1],P4 - OutTempRange [K],P5 - OutTempAve [K],P11 - Mesh Element Size [m],P12 - Mesh Max Size [m],P13 - Mesh Min Size [m],P14 - Mesh Proximity Min Size [m],P15 - Mesh Maximum Thickness [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P11,P12,P13,P14,P15
DP 0,1,0,1500,0.190277,299.99,0.4,0.4,0.03,0.03,0.3
DP 2,1,0,1500,0.0071106,300.008,0.15,0.15,0.011,0.011,0.15
DP 3,1,0,1500,0.00717163,299.995,0.12,0.12,0.009,0.009,0.12
DP 4,1,0,1500,0.0105896,300.001,0.2,0.2,0.015,0.015,0.2
DP 3,1,0,1500,0.0241699,300.028,0.4,0.4,0.03,0.03,0.3
# 
# A non parametric change occurred and invalidated design point results.
# 12/05/2018 14:15:03
# 
DP 4,1,0,1500,0.00933838,299.99,0.2,0.2,0.015,0.015,0.2
DP 5,1,0,1500,0.0067749,299.989,0.12,0.12,0.009,0.009,0.12
DP 6,1,0,1500,0.00970459,300.002,0.15,0.15,0.011,0.011,0.15
DP 3,1,0,1500,0.025177,300.031,0.4,0.4,0.03,0.03,0.3
DP 7,1,-45,1500,0.0072937,300.079,0.15,0.15,0.011,0.011,0.15
DP 8,1.5,0,1500,0.00424194,299.866,0.15,0.15,0.011,0.011,0.15
DP 9,1,0,1600,0.00564575,300.003,0.15,0.15,0.011,0.011,0.15
DP 9,1,0,1600,0.00564575,300.003,0.15,0.15,0.011,0.011,0.15
DP 10,1,-45,1000,0.00305176,300.06,0.15,0.15,0.011,0.011,0.15
DP 11,1,-45,2000,0.0138855,300.143,0.15,0.15,0.011,0.011,0.15
DP 12,1,-22.5,1000,0.00338745,299.962,0.15,0.15,0.011,0.011,0.15
DP 13,1,-22.5,1500,0.00650024,299.95,0.15,0.15,0.011,0.011,0.15
DP 14,1,-22.5,2000,0.0107422,300.015,0.15,0.15,0.011,0.011,0.15
DP 15,1,0,1000,0.00765991,300.003,0.15,0.15,0.011,0.011,0.15
DP 16,1,0,2000,0.0144043,300,0.15,0.15,0.011,0.011,0.15
DP 10,1,-37.830200345807874,1000.1065792576104,0.00283813,300.021,0.15,0.15,0.011,0.011,0.15
# 
# A non parametric change occurred and invalidated design point results.
# 12/06/2018 14:49:03
# 
# 
# 12/06/2018 14:53:55
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree],P3 - inMassFlow [kg s^-1],P4 - OutTempRange [K],P5 - OutTempAve [K],P11 - Mesh Element Size [m],P12 - Mesh Max Size [m],P13 - Mesh Min Size [m],P14 - Mesh Proximity Min Size [m],P15 - Mesh Maximum Thickness [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P11,P12,P13,P14,P15
DP 10,1,-37.830200345807874,1000.1065792576104,0.00283813,300.021,0.15,0.15,0.011,0.011,0.15
DP 6,1,0,1500,0.00738525,300.003,0.15,0.15,0.011,0.011,0.15
DP 7,1,-45,1500,0.00695801,300.076,0.15,0.15,0.011,0.011,0.15
DP 8,1.5,0,1500,0.00402832,299.865,0.15,0.15,0.011,0.011,0.15
DP 9,1,0,1600,0.00363159,300.003,0.15,0.15,0.011,0.011,0.15
# 
# A non parametric change occurred and invalidated design point results.
# 12/07/2018 15:12:18
# 
# 
# 12/07/2018 15:18:26
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree],P3 - inMassFlow [kg s^-1],P4 - OutTempRange [K],P5 - OutTempAve [K],P11 - Mesh Element Size [m],P12 - Mesh Max Size [m],P13 - Mesh Min Size [m],P14 - Mesh Proximity Min Size [m],P15 - Mesh Maximum Thickness [m],P16 - Mesh Elements,P17 - Mesh Nodes
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P11,P12,P13,P14,P15,P16,P17
DP 7,1,-45,1500,0.00695801,300.076,0.15,0.15,0.011,0.011,0.15,98397,27294
DP 8,1.5,0,1500,0.00402832,299.865,0.15,0.15,0.011,0.011,0.15,104953,29171
DP 9,1,0,1600,0.00363159,300.003,0.15,0.15,0.011,0.011,0.15,98490,27344
DP 10,1,-37.830200345807874,1000.1065792576104,0.00271606,300.02,0.15,0.15,0.011,0.011,0.15,98159,27225
# 
# 12/07/2018 15:34:50
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree],P3 - inMassFlow [kg s^-1],P4 - OutTempRange [K],P5 - OutTempAve [K],P11 - Mesh Element Size [m],P12 - Mesh Max Size [m],P13 - Mesh Min Size [m],P14 - Mesh Proximity Min Size [m],P15 - Mesh Maximum Thickness [m],P16 - Mesh Elements,P17 - Mesh Nodes
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P11,P12,P13,P14,P15,P16,P17
DP 6,1,0,1500,0.0107117,300,0.2,0.2,0.015,0.015,0.2,49164,15627
DP 7,1,0,1500,0.0105896,300.593,0.12,0.12,0.009,0.009,0.12,184128,47273
DP 8,1,0,1500,0.028595,300.09,0.4,0.4,0.03,0.03,0.3,21837,8673
DP 9,1,0,1600,0.00363159,300.003,0.15,0.15,0.011,0.011,0.15,98490,27344
DP 7,1,0,1500,0.0105896,300.593,0.12,0.12,0.009,0.009,0.12,184128,47273
DP 6,0.9,0,1500,0.00701904,300.021,0.2,0.2,0.015,0.015,0.2,49355,15713
DP 7,0.9,0,1500,0.00564575,300.424,0.12,0.12,0.009,0.009,0.12,182942,46957
DP 8,0.9,0,1500,0.0291443,300.059,0.4,0.4,0.03,0.03,0.3,21593,8619
DP 9,0.9,0,1600,0.00805664,300.002,0.15,0.15,0.011,0.011,0.15,98557,27456
DP 7,1,0,1500,0.00912476,300.258,0.12,0.12,0.009,0.009,0.12,184128,47273
DP 9,1,0,1500,0.0110779,299.992,0.15,0.15,0.011,0.011,0.15,98461,27395
DP 8,1,0,1500,0.0364075,299.984,0.4,0.4,0.03,0.03,0.3,21837,8673
DP 6,1,0,1500,0.0540771,300.04,0.2,0.2,0.015,0.015,0.2,48964,15567
DP 8,1,0,1500,0.0364075,299.984,0.4,0.4,0.03,0.03,0.3,21837,8673
DP 6,0.8,0,1500,0.0106201,299.991,0.2,0.2,0.015,0.015,0.2,49815,15932
DP 6,1,0,1500,0.00811768,299.942,0.2,0.2,0.015,0.015,0.2,48964,15567
# 
# 12/08/2018 21:26:32
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree],P3 - inMassFlow [kg s^-1],P4 - OutTempRange [K],P5 - OutTempAve [K],P11 - Mesh Element Size [m],P12 - Mesh Max Size [m],P13 - Mesh Min Size [m],P14 - Mesh Proximity Min Size [m],P15 - Mesh Maximum Thickness [m],P16 - Mesh Elements,P17 - Mesh Nodes
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P11,P12,P13,P14,P15,P16,P17
DP 6,0.9,0,1500,0.0631409,299.916,0.2,0.2,0.015,0.015,0.2,49355,15713
DP 7,0.9,0,1500,0.00579834,300.143,0.12,0.12,0.009,0.009,0.12,182942,46957
DP 8,0.9,0,1500,0.266754,300.035,0.4,0.4,0.03,0.03,0.3,21593,8619
DP 9,0.9,0,1500,0.00854492,299.997,0.15,0.15,0.011,0.011,0.15,98557,27456
DP 6,1,0,1500,0.0543518,300.047,0.2,0.2,0.015,0.015,0.2,48964,15567
DP 7,1,0,1500,0.0093689,300.089,0.12,0.12,0.009,0.009,0.12,184128,47273
DP 8,1,0,1500,0.0721741,299.993,0.4,0.4,0.03,0.03,0.3,21837,8673
DP 9,1,0,1500,0.0118408,299.992,0.15,0.15,0.011,0.011,0.15,98461,27395
# 
# 12/09/2018 14:06:55
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - inDia [m],P2 - in2Angle [degree],P3 - inMassFlow [kg s^-1],P4 - OutTempRange [K],P5 - OutTempAve [K],P11 - Mesh Element Size [m],P12 - Mesh Max Size [m],P13 - Mesh Min Size [m],P14 - Mesh Proximity Min Size [m],P15 - Mesh Maximum Thickness [m],P16 - Mesh Elements,P17 - Mesh Nodes
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P11,P12,P13,P14,P15,P16,P17
DP 7,1,0,1500,0.0093689,300.089,0.12,0.12,0.009,0.009,0.12,184128,47273
DP 6,0.9,0,1500,0.0636597,299.939,0.2,0.2,0.015,0.015,0.2,49355,15713
DP 8,0.9,0,1500,0.038269,299.973,0.4,0.4,0.03,0.03,0.3,21593,8619
DP 9,0.5,0,1500,0.00430298,300.14,0.15,0.15,0.011,0.011,0.15,101554,28797
DP 10,1,0,1500,0.0135803,299.909,0.12,0.12,0.009,0.009,0.12,184128,47273
DP 9,1,0,1500,0.00765991,299.992,0.15,0.15,0.011,0.011,0.15,98461,27395
DP 8,1,0,1500,0.0393982,299.979,0.4,0.4,0.03,0.03,0.3,21837,8673
DP 6,1,0,1500,0.0123596,299.973,0.2,0.2,0.015,0.015,0.2,48964,15567
# 
# A non parametric change occurred and invalidated design point results.
# 12/09/2018 15:00:52
# 
DP 6,1,0,1500,0.291229,300.012,0.2,0.2,0.015,0.015,0.2,48964,15567
DP 8,1,0,1500,0.537537,299.978,0.4,0.4,0.03,0.03,0.3,21837,8673
DP 9,1,0,1500,0.333221,300.044,0.15,0.15,0.011,0.011,0.15,98461,27395
DP 10,1,0,1500,0.343353,299.927,0.12,0.12,0.009,0.009,0.12,184128,47273
